epochs,train_loss,train_ce_loss,train_sp_loss,train_acc,test_acc,sparsity_global,sparsity_fc1,sparsity_fc2,sparsity_fc3,lr,epoch_time_s,effective_lambda
15,1.4391460495117383,1.3255323770718697,227227.3468349359,0.5247395833333334,0.5296,0.5989733851899114,0.6251948674519857,0.2894859313964844,0.06953125,0.0007938926261462366,43.00355792045593,5e-07
16,1.4260400955493633,1.3174343316982955,217211.52760416668,0.5304286858974359,0.5389,0.6268071024433268,0.6536401112874349,0.3101768493652344,0.07734375,0.0007679133974894982,43.016823291778564,5e-07
17,1.4164452705627832,1.3122050994481795,208480.34415064103,0.5306089743589744,0.5382,0.6513139684356704,0.6784709294637045,0.3310050964355469,0.08046875,0.0007408768370508576,43.44519352912903,5e-07
18,1.4050044084206605,1.3046064645816118,200795.88661858975,0.5346754807692308,0.5485,0.6728801512535655,0.7001794179280599,0.3510169982910156,0.086328125,0.0007128896457825362,41.366076946258545,5e-07
19,1.3923667507293898,1.2953302148060921,194073.07716346154,0.537099358974359,0.5522,0.6918786241742981,0.719109853108724,0.3709297180175781,0.0953125,0.0006840622763423389,42.119410276412964,5e-07
20,1.378605235234285,1.2845088723378304,188192.72728365383,0.5404246794871795,0.5649,0.7086424828291548,0.7356840769449869,0.39005279541015625,0.103515625,0.0006545084971874735,41.16060972213745,5e-07
21,1.3707499476579519,1.2793056891514705,182888.5155048077,0.5419871794871794,0.5519,0.7237071432592703,0.7504851023356119,0.4083442687988281,0.112109375,0.0006243449435824271,42.05296230316162,5e-07
22,1.3641968782131488,1.2751085706246206,178176.61286057692,0.5461538461538461,0.554,0.7371350608955112,0.7636334101359049,0.4251899719238281,0.119140625,0.0005936906572928622,41.436156272888184,5e-07
23,1.3529923350383073,1.2660039064211723,173976.8576923077,0.5457131410256411,0.5515,0.7490021791960667,0.7751830418904623,0.4409141540527344,0.126171875,0.000562666616782152,40.85959053039551,5e-07
24,1.3386660832625168,1.2535379292109075,170256.3076522436,0.5525240384615384,0.5744,0.7595413132412551,0.7853848139444987,0.45555877685546875,0.130859375,0.0005313952597646566,40.73237323760986,5e-07
25,1.329886419345171,1.2464126863540748,166947.46017628204,0.5527644230769231,0.5671,0.7690307268991142,0.7945617039998373,0.4688262939453125,0.1375,0.0004999999999999998,43.95397996902466,5e-07
26,1.3270562535677202,1.2450600404005785,163992.4235576923,0.5537459935897436,0.5745,0.7774877200307762,0.8027098973592123,0.48099517822265625,0.1453125,0.00046860474023534314,42.92277908325195,5e-07
27,1.322840789342538,1.242177281012902,161327.0186698718,0.5538261217948718,0.5707,0.7848738810801681,0.809840202331543,0.4914741516113281,0.150390625,0.00043733338321784774,43.612300395965576,5e-07
28,1.3135936972422477,1.2341185022623111,158950.38866185897,0.5608573717948718,0.5726,0.791578603531752,0.8163305918375651,0.5007286071777344,0.159375,0.00040630934270713756,42.14927101135254,5e-07
29,1.3009284236492256,1.2225123238869202,156832.2002804487,0.5618790064102565,0.5796,0.7975300489791323,0.8220628102620443,0.5093269348144531,0.163671875,0.00037565505641757246,40.2420768737793,5e-07
30,1.2990559636018215,1.2215829777411926,154945.97419871794,0.5640424679487179,0.5719,0.8028267386653656,0.8271977106730143,0.5165748596191406,0.16796875,0.00034549150281252633,43.047916650772095,5e-07
31,1.2903732853058056,1.2137285142372816,153289.54278846155,0.567167467948718,0.577,0.8076249577766101,0.8318354288736979,0.5232925415039062,0.1734375,0.00031593772365766105,42.704034090042114,5e-07
32,1.287983757410294,1.2120811758897243,151805.16350160257,0.5657852564102565,0.5809,0.8119147369013662,0.8360010782877604,0.5290489196777344,0.180078125,0.00028711035421746355,41.460344076156616,5e-07
33,1.284980054696401,1.2097383089554616,150483.4893830128,0.56640625,0.5832,0.8156858134101487,0.8396507898966471,0.5342445373535156,0.187109375,0.0002591231629491422,43.08693528175354,5e-07
34,1.2815386909704942,1.2068795651961595,149318.24951923077,0.5675681089743589,0.5809,0.8190155968510734,0.8429005940755209,0.5385208129882812,0.191796875,0.00023208660251050145,42.512773752212524,5e-07
35,1.275460076637757,1.201316076058608,148287.99971955127,0.5698918269230769,0.5827,0.821962730821198,0.8457686106363932,0.5424079895019531,0.195703125,0.00020610737385376337,41.03406763076782,5e-07
36,1.2686860986244983,1.194984977520429,147402.23870192308,0.5733373397435897,0.5865,0.8245811674298154,0.8483285903930664,0.5457038879394531,0.20078125,0.00018128800512565502,42.296525716781616,5e-07
37,1.2634431009109204,1.1901324298137272,146621.3452323718,0.5747395833333333,0.5865,0.8269151825927038,0.8506085077921549,0.5486831665039062,0.203515625,0.00015772644703565555,43.50801992416382,5e-07
38,1.263762262234321,1.1907915555513822,145941.41165865384,0.5754807692307692,0.5868,0.8289630170019516,0.8526029586791992,0.5513572692871094,0.20703125,0.00013551568628929425,42.46142315864563,5e-07
39,1.2609073018416381,1.1882297061956846,145355.18934294872,0.5757211538461539,0.5923,0.8306935895511185,0.8542976379394531,0.5535163879394531,0.208984375,0.00011474337861210535,43.663949489593506,5e-07
40,1.2567480723063151,1.1843240458231705,144848.0517628205,0.5774439102564103,0.5917,0.832206594355202,0.8557793299357096,0.555389404296875,0.212109375,9.549150281252626e-05,42.64849376678467,5e-07
41,1.2544051552430178,1.1821909713439451,144428.36931089743,0.5787660256410256,0.5886,0.8334697774358204,0.8570143381754557,0.5569801330566406,0.214453125,7.783603724899252e-05,40.618189096450806,5e-07
42,1.251201620621559,1.1791630647121332,144077.11041666666,0.5794070512820513,0.5924,0.8345587890331781,0.8580773671468099,0.5583648681640625,0.2171875,6.184665997806817e-05,42.1214804649353,5e-07
43,1.2507127411854573,1.178819848023928,143785.78665865384,0.5787259615384616,0.5913,0.8354413751688936,0.8589375813802084,0.5595169067382812,0.21796875,4.7586473766990294e-05,43.46598672866821,5e-07
44,1.2508917171221512,1.1791139379525797,143555.56133814104,0.5794671474358974,0.5897,0.8361518423472452,0.8596331278483073,0.5604095458984375,0.218359375,3.5111757055874305e-05,42.53937220573425,5e-07
45,1.2449201895640447,1.1732323504411257,143375.67996794873,0.5811298076923077,0.5927,0.8367022125056298,0.860170046488444,0.5611190795898438,0.219140625,2.4471741852423218e-05,42.12824559211731,5e-07
46,1.243212942740856,1.1715908872775542,143244.10989583333,0.5846754807692308,0.5908,0.8370813433606065,0.860541025797526,0.5615921020507812,0.219921875,1.5708419435684507e-05,42.32410740852356,5e-07
47,1.2482881882251837,1.1767126367642329,143151.10853365384,0.5812099358974359,0.5898,0.837361366536556,0.8608153661092123,0.5619392395019531,0.2203125,8.856374635655634e-06,41.274253606796265,5e-07
48,1.2473701174442584,1.1758240239742475,143092.18485576924,0.5811298076923077,0.591,0.8375402295075814,0.8609917958577474,0.5621452331542969,0.220703125,3.942649342761115e-06,42.119831562042236,5e-07
49,1.245312217871348,1.1737820198902718,143060.3969150641,0.5806089743589744,0.5912,0.8376152933118151,0.8610655466715494,0.5622367858886719,0.220703125,9.866357858642198e-07,41.782540798187256,5e-07
50,1.2405404653304661,1.169016647644532,143047.63353365383,0.5832732371794872,0.5915,0.8376337660448882,0.8610830307006836,0.5622634887695312,0.22109375,0.0,40.17384147644043,5e-07
