epochs,train_loss,train_ce_loss,train_sp_loss,train_acc,test_acc,sparsity_global,sparsity_fc1,sparsity_fc2,sparsity_fc3,lr,epoch_time_s,effective_lambda
1,2.0946708177908873,1.8389942031640274,1534059.6855769232,0.33513621794871795,0.4148,1.407446329379973e-05,1.4623006184895834e-05,7.62939453125e-06,0.0,0.0009990133642141358,41.278010845184326,1.6666666666666665e-07
2,2.064720579294058,1.662095397252303,1207875.5419871795,0.4043269230769231,0.411,0.00043865410599009156,0.00044600168863932293,0.000354766845703125,0.0,0.000996057350657239,41.70267987251282,3.333333333333333e-07
3,2.036492217198396,1.5888686531629317,895247.1318910257,0.428525641025641,0.4457,0.007747112389280888,0.007151285807291667,0.014949798583984375,0.00234375,0.0009911436253643444,40.503679037094116,5e-07
4,1.8847975370211478,1.54251121313144,684572.6524038462,0.44925881410256413,0.4564,0.03151506905869989,0.029802322387695312,0.052276611328125,0.01015625,0.0009842915805643156,41.51472306251526,5e-07
5,1.7846139565492287,1.5052420411354457,558743.8306891025,0.46149839743589743,0.4718,0.07337193645848972,0.07294273376464844,0.07909774780273438,0.014453125,0.0009755282581475769,42.668471336364746,5e-07
6,1.718570458277678,1.480805352406624,475530.2125801282,0.4695913461538462,0.4837,0.12973781620627534,0.13213411966959634,0.10203933715820312,0.021484375,0.0009648882429441258,42.5562744140625,5e-07
7,1.6584661150589968,1.4504382625604286,416055.7165865385,0.4780448717948718,0.4949,0.19525825467272181,0.20138963063557944,0.12328720092773438,0.030859375,0.0009524135262330099,42.558717250823975,5e-07
8,1.616183527616354,1.430421562989553,371523.92620192305,0.48563701923076924,0.5064,0.26256380423359854,0.2726634343465169,0.14359664916992188,0.034375,0.0009381533400219318,42.26334261894226,5e-07
9,1.581807551934169,1.4133800524931688,336855.0029647436,0.4947716346153846,0.5126,0.3275341657596457,0.3413826624552409,0.16417312622070312,0.038671875,0.0009221639627510075,41.5309956073761,5e-07
10,1.5475569251256112,1.3929078123508356,309298.22532051284,0.5014423076923077,0.5119,0.3875289112933493,0.4046592712402344,0.18530654907226562,0.0453125,0.0009045084971874736,41.82279086112976,5e-07
11,1.5223905713130266,1.3790084160291232,286764.30889423075,0.505849358974359,0.5108,0.44169712224140517,0.4616638819376628,0.20592117309570312,0.05,0.0008852566213878945,42.445104122161865,5e-07
12,1.4986896955049955,1.3646818396372673,268015.7108173077,0.5107371794871794,0.5256,0.4889043382187359,0.5111017227172852,0.22677230834960938,0.055078125,0.0008644843137107056,42.18526244163513,5e-07
13,1.4795282883521839,1.353381324120057,252293.93389423078,0.5189703525641025,0.5105,0.5306799842366011,0.5546302795410156,0.24786758422851562,0.060546875,0.0008422735529643443,43.533379793167114,5e-07
14,1.4628197789192199,1.3434130463844691,238813.4639022436,0.5201923076923077,0.5302,0.5670947258294551,0.5923754374186198,0.2686271667480469,0.065234375,0.0008187119948743448,40.22786903381348,5e-07
