epochs,train_loss,train_ce_loss,train_sp_loss,train_acc,test_acc,sparsity_global,sparsity_fc1,sparsity_fc2,sparsity_fc3,lr,epoch_time_s,effective_lambda
1,1.8900039079861763,1.8350345394550225,1649081.1185897435,0.33533653846153844,0.4041,3.8118338087374268e-06,3.814697265625e-06,3.814697265625e-06,0.0,0.0009990133642141358,41.49428033828735,3.333333333333333e-08
2,1.7700739157505525,1.6675796841963744,1537413.5176282052,0.4,0.4307,1.1728719411499775e-05,1.239776611328125e-05,3.814697265625e-06,0.0,0.000996057350657239,41.746936559677124,6.666666666666665e-08
3,1.7464536388715108,1.6067943719717173,1396592.6317307693,0.42305689102564104,0.4588,4.222338988139919e-05,4.38690185546875e-05,2.288818359375e-05,0.0,0.0009911436253643444,42.49557042121887,1e-07
4,1.6843741789842264,1.5590048031929211,1253693.7387820513,0.43990384615384615,0.4637,0.0001556987501876595,0.00016117095947265625,9.1552734375e-05,0.0,0.0009842915805643156,40.518982887268066,1e-07
5,1.6417822513824853,1.5287366384114975,1130456.1086538462,0.44963942307692306,0.4651,0.0005412804008407146,0.0004990895589192709,0.001049041748046875,0.000390625,0.0009755282581475769,41.559818506240845,1e-07
6,1.6062673039925404,1.5037949986946888,1024723.0467948718,0.46091746794871796,0.4689,0.0018147261109443026,0.0013265609741210938,0.0076751708984375,0.0015625,0.0009648882429441258,42.16715431213379,1e-07
7,1.571808413358835,1.4783550568116017,934533.5498397436,0.47315705128205127,0.4791,0.004466003133913827,0.003082275390625,0.021083831787109375,0.003125,0.0009524135262330099,42.37475061416626,1e-07
8,1.5462419473207913,1.460451133434589,857908.125801282,0.4768629807692308,0.4941,0.008532350153880798,0.006271044413248698,0.03568267822265625,0.00703125,0.0009381533400219318,41.76719856262207,1e-07
9,1.5220034330319137,1.442806826188014,791966.0399038461,0.48319310897435896,0.5025,0.014486141345143371,0.011459032694498697,0.0508575439453125,0.009765625,0.0009221639627510075,39.8687539100647,1e-07
10,1.498894987350855,1.4253670539611425,735279.3169871795,0.48715945512820513,0.4965,0.023103817932742833,0.019445419311523438,0.06711196899414062,0.012109375,0.0009045084971874736,41.79792308807373,1e-07
11,1.4827736038428085,1.4141665137731112,686070.9169871794,0.49228766025641024,0.4945,0.03516270079567632,0.03111712137858073,0.08391571044921875,0.0140625,0.0008852566213878945,41.54951524734497,1e-07
12,1.4639933442458128,1.3996778705181219,643154.7245192308,0.49941907051282053,0.5053,0.0514354193251764,0.047364234924316406,0.100616455078125,0.01796875,0.0008644843137107056,41.046278953552246,1e-07
13,1.4474073538413414,1.3868458640881074,605614.9173076923,0.5021233974358974,0.5032,0.0719914661837562,0.06824620564778645,0.1174163818359375,0.02265625,0.0008422735529643443,41.22945761680603,1e-07
14,1.4293149572152357,1.372023464166201,572914.8926282051,0.5082532051282052,0.5194,0.09644027501501276,0.09339745839436848,0.13362884521484375,0.02734375,0.0008187119948743448,40.18497657775879,1e-07
15,1.4165580819814634,1.3621712693801293,543868.1373397436,0.5123597756410256,0.5147,0.1245050480408347,0.12252108256022136,0.14920806884765625,0.0328125,0.0007938926261462366,43.20131230354309,1e-07
16,1.4015892355869979,1.3497413659707094,518478.71009615384,0.517147435897436,0.5161,0.15480384889656207,0.15418211619059244,0.16342926025390625,0.035546875,0.0007679133974894982,42.59964299201965,1e-07
17,1.3895864174916195,1.3399664261402229,496199.9245192308,0.5198717948717949,0.5222,0.18634970584371716,0.18722915649414062,0.17722320556640625,0.040234375,0.0007408768370508576,40.29533529281616,1e-07
18,1.3747308908364713,1.3270773973220433,476534.9266025641,0.5262419871794872,0.5274,0.21841983654856628,0.22089767456054688,0.19039535522460938,0.043359375,0.0007128896457825362,41.48424553871155,1e-07
19,1.3667783125852928,1.3208780502661681,459002.62107371795,0.5288261217948718,0.5347,0.25051899583395887,0.254696528116862,0.20233917236328125,0.05078125,0.0006840622763423389,43.26983952522278,1e-07
20,1.3530610668353544,1.3087048796507028,443561.8729166667,0.5337940705128205,0.5317,0.28139514290271733,0.2871958414713542,0.2139739990234375,0.057421875,0.0006545084971874735,43.5071918964386,1e-07
21,1.3434426793685326,1.3004603242262815,429823.56185897434,0.5365184294871795,0.5382,0.3111538362295451,0.31850210825602215,0.22536468505859375,0.06640625,0.0006243449435824271,43.13871765136719,1e-07
22,1.3343898210770044,1.2926242953691727,417655.27451923076,0.5392828525641026,0.5455,0.3391845959690737,0.3479706446329753,0.23633956909179688,0.07421875,0.0005936906572928622,43.14172554016113,1e-07
23,1.3228614510634007,1.2821775454741258,406839.04623397434,0.5404847756410256,0.5393,0.36520006849572134,0.3752829233805339,0.24699020385742188,0.080078125,0.000562666616782152,41.80130958557129,1e-07
24,1.3130616570130373,1.2733419620073758,397196.9400641026,0.543349358974359,0.5499,0.38918617934619426,0.4003887176513672,0.2577362060546875,0.083984375,0.0005313952597646566,40.82672739028931,1e-07
25,1.3058114452239795,1.2669480812855256,388633.65264423075,0.5490384615384616,0.5489,0.41126197502251916,0.42345015207926434,0.2681312561035156,0.091015625,0.0004999999999999998,43.28726863861084,1e-07
26,1.3011834162932177,1.2630918241464175,380915.9110576923,0.5500400641025641,0.5578,0.4313925625844468,0.4443877538045247,0.2787017822265625,0.0984375,0.00046860474023534314,42.94875478744507,1e-07
27,1.291358244113433,1.2539393327175044,374189.09455128206,0.5539863782051282,0.5563,0.4496779293649602,0.4633506139119466,0.2889747619628906,0.1046875,0.00043733338321784774,43.48077201843262,1e-07
28,1.277882468700409,1.2410657778764382,368166.8733974359,0.5572516025641026,0.5594,0.4661963645661312,0.4803775151570638,0.29950714111328125,0.109375,0.00040630934270713756,40.39708089828491,1e-07
29,1.274813908797044,1.238524918984144,362889.91041666665,0.5580729166666667,0.5579,0.48081709296652153,0.4953931172688802,0.3094902038574219,0.113671875,0.00037565505641757246,41.763137340545654,1e-07
30,1.2604276458422343,1.2246098131705554,358178.3157852564,0.56328125,0.5622,0.49385063241255067,0.5086625417073568,0.3197746276855469,0.118359375,0.00034549150281252633,41.29946541786194,1e-07
