epochs,train_loss,train_ce_loss,train_sp_loss,train_acc,test_acc,sparsity_global,sparsity_fc1,sparsity_fc2,sparsity_fc3,lr,epoch_time_s,effective_lambda
16,1.381259264395787,1.3630964618462782,908140.1498397436,0.51328125,0.5102,0.003749671595856478,0.0040276845296223955,0.0004425048828125,0.00078125,0.0007679133974894982,41.05054569244385,2e-08
17,1.3756946817422524,1.3582186246529604,873802.9488782051,0.5140825320512821,0.527,0.004709667279687735,0.005055427551269531,0.00060272216796875,0.000390625,0.0007408768370508576,41.74349880218506,2e-08
18,1.3640888901857229,1.347233632588998,842762.8520833333,0.5184495192307692,0.5176,0.005806302544662963,0.0062185923258463545,0.00090789794921875,0.00078125,0.0007128896457825362,42.45600366592407,2e-08
19,1.350500583037352,1.334222305432344,813914.053525641,0.5221554487179487,0.5335,0.0070897176662663266,0.007564544677734375,0.001453399658203125,0.00078125,0.0006840622763423389,40.06022524833679,2e-08
20,1.341001410362048,1.3252608843338796,787026.301923077,0.5258012820512821,0.5353,0.008547597489115748,0.009046236673990885,0.002635955810546875,0.001171875,0.0006545084971874735,41.43774724006653,2e-08
21,1.3284006158510844,1.3131405289356526,763004.4298076923,0.5294671474358974,0.5279,0.010182580975078816,0.01063378651936849,0.004852294921875,0.0015625,0.0006243449435824271,42.19690656661987,2e-08
22,1.3232915221116481,1.3084803107457283,740560.5650641025,0.5304086538461539,0.5336,0.012057416773007056,0.012406031290690104,0.007953643798828125,0.00390625,0.0005936906572928622,41.39704895019531,2e-08
23,1.3090359180401534,1.2946445954151642,719566.2639423077,0.5390625,0.5325,0.014109942670019516,0.014370918273925781,0.01107025146484375,0.0046875,0.000562666616782152,41.33982300758362,2e-08
24,1.305996746283311,1.2919873980375436,700467.4932692308,0.5386217948717948,0.5452,0.016307318251764,0.01644102732340495,0.014812469482421875,0.005078125,0.0005313952597646566,39.37433695793152,2e-08
25,1.2941365275627528,1.2804797517947661,682838.8501602564,0.5419871794871794,0.5442,0.01866801625131362,0.018685022989908855,0.018589019775390625,0.005859375,0.0004999999999999998,42.68130326271057,2e-08
26,1.2866017109308487,1.2732629919663454,666935.8307692307,0.5457131410256411,0.5482,0.021119611826302356,0.021032015482584637,0.022319793701171875,0.005859375,0.00046860474023534314,41.79103899002075,2e-08
